Año,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Llamadas pospago salientes (miles),Llamadas prepago salientes (miles),Total de llamadas salientes (miles),Minutos pospago salientes (miles),Minutos prepago salientes (miles),Total de minutos salientes (miles),Accesos por cada 100 hab,Número de SMS salientes
2013,1,7761349,57147608,64908957,3796547,3412766,7209313,8785943,6582117,15368060,154.37,36430004057
2013,2,7769110,58004822,65773932,4156872,3699387,7856258,9512689,7108640,16621329,156.0,34255065773
2013,3,8002183,59048909,67051092,4466727,3814925,8281653,10315484,7335154,17650638,158.59,33217669903
2013,4,8674516,58894516,67569032,4743791,3906876,8650667,9809515,6250549,16060064,159.37,22547130953
2014,1,8224482,54725089,62949571,4001399,3589181,7590580,10128751,5799223,15927974,148.07,18393198881
2014,2,7953775,53009865,60963640,4373148,3942142,8315290,10821463,6438071,17259534,143.0,15877208560
2014,3,8214424,53102043,61316467,4676132,4356668,9032801,11524344,7179152,18703495,143.44,14201444366
2014,4,8027505,53093330,61120835,4957353,4649196,9606550,11997330,7147630,19144961,142.6,12287624401
2015,1,7747230,52474633,60221863,4180427,3992229,8172656,10273637,6480172,16753809,140.12,14254061889
2015,2,7633527,52241939,59875466,4612087,4081505,8693592,11226576,6579819,17806395,138.94,12732243852
2015,3,7600799,53131712,60732511,4834496,4544938,9379434,11766711,7198826,18965537,140.56,11650531080
2015,4,7594526,54247485,61842011,5015851,4799840,9815691,11905073,7301039,19206111,142.75,10588029213
2016,1,7483126,54003635,61486761,4602640,4291789,8894429,11230991,6656647,17887638,141.55,9525079422
2016,2,7565115,54557406,62122521,4633918,4362030,8995948,11493027,6778732,18271759,142.64,8390644680
2016,3,7520789,56058550,63579339,5125311,3985485,9110796,11923391,7077838,19001229,145.6,7610368636
2016,4,7637635,56082170,63719805,5977412,3289295,9266707,15960765,6938892,22899656,145.55,7269739541
2017,1,7502772,55523350,63026122,5337927,2883162,8221089,14630269,6209983,20840252,143.59,6595759974
2017,2,7415230,55483528,62898758,5431369,2753032,8184400,15315167,6293563,21608730,142.81,6313944821
2017,3,7272585,54958224,62230809,5401689,2812805,8214493,15106275,6308373,21414647,141.05,5784899010
2017,4,7108228,54789151,61897379,5506428,2895913,8402341,14164552,5380710,19545262,139.94,5261403776
2018,1,7101698,53470098,60571796,4629943,2639039,7268982,13423580,5850985,19274565,136.59,4402925087
2018,2,6637444,52828949,59466393,4997593,2617568,7615161,14240217,6027374,20267591,133.76,4447456352
2018,3,6551391,52289745,58841136,5114169,2585551,7699720,14574305,6108477,20682782,132.02,3939633281
2018,4,6488017,52110024,58598041,5415217,2825480,8240697,14915060,6613685,21528745,131.15,3697690058
2019,1,6645995,51960447,58606442,4990885,2569627,7560513,13733817,6182148,20364355,131.17,2979265948
2019,2,5924037,51672054,57596091,5081580,2632188,7713768,13986048,6174602,20160650,128.91,2827445823
2019,3,5974898,50300828,56275726,4735771,2519092,7254864,13444769,6819314,20264083,128.68,2949922014
2019,4,5797378,50133535,55930914,4935401,2665719,7601121,11828877,6567190,18396067,124.89,2175994230
2020,1,5743132,49869047,55612810,4356730,2226860,6583591,13764635,6211879,19976514,123.81,1957599508
2020,2,5659667,49391056,55050723,3944060,2091329,6035390,14584355,5949099,20533455,121.71,1941261096
2020,3,5559723,49060162,54619886,4216176,2040646,6256823,14536704,5696018,20232723,120.18,1887885018
2020,4,5556298,49207602,54763900,4653522,1353625,6007147,14421376,5768782,20190159,120.21,1162624348
2021,1,6041047,50411986,56453033,4312129,1273253,5585383,12992365,5469580,18461946,123.62,1061013967
2021,2,6046091,50829471,56875562,4343282,1084243,5427525,13869977,5354042,19224020,124.26,748701689
2021,3,6104479,51708030,57812509,4365099,1195388,5560488,13152392,5440363,18592756,126.01,1109243724
2021,4,6186993,52878833,59065827,4580318,1355532,5935851,12944093,5456087,18400181,128.44,929840583
2022,1,6231309,52937601,59168910,4073512,1265693,5339205,12362900,3586127,15949027,128.37,909954575
2022,2,6245815,52865377,59111192,4109735,1364889,5474624,12436523,3776194,16212718,127.95,789033575
2022,3,6250732,53008139,59258871,4080042,1309303,5389345,12576477,3868160,16444638,127.98,803389256
2022,4,6546406,53157521,59703927,3912854,1113470,5026324,12204425,3748217,15952642,128.65,773515610
